site_code,site_name,site_type,site_type_name,start_date,end_date,rkm,rkm_total,site_description,geometry,sthd_DPS,sthd_MPG,sthd_POP_NAME,sthd_TRT_POPID,sthd_GSI_Group
BTC,Big Timber Creek,INT,Instream Remote Detection System,2010-01-20T00:00:00Z,2013-10-15T11:31:00Z,522.303.416.089.001,1331,This is an instream interrogation system consisting of two 10-foot pass-by antennas arrayed in tandem at km 1.3 on Big Timber Creek. Site was decommissioned October 2013. New site with code BTL was installed 1km downstream and replaces this site.,"c(-113.37041, 44.68811)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BTL,"Lower Big Timber, Lemhi Basin",INT,Instream Remote Detection System,2013-10-16T00:00:00Z,2016-10-19T00:00:00Z,522.303.416.089.001,1331,"In-stream detection system currently consisting of two antennas located in Big Timber Creek approximately 300 meters upstream of the confluence with the Lemhi River.  The Big Timber array site is located 1.32 k below the culvert on Highway 28. BTL is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. This site is powered by a 24 volt solar powered system and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors. The initial site configuration consisting of three arrays of two antennas each was replaced in October 2016 with a 20 ft and a 10ft antenna deployed about 30 meters apart.","c(-113.374118, 44.697568)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BTM,Big Timber Creek - Middle,INT,Instream Remote Detection System,2015-03-19T00:00:00Z,2018-05-18T00:00:00Z,522.303.416.089.005,1335,"This in-stream detection system on Big Timber Creek is located approximately 5.3 km upstream of the confluence with the Lemhi River and is comprised of three arrays.  The upstream array consists of one 10 ft antenna, the middle array consists of two 10 ft antennas, and the downstream array consists of a single 10 ft antenna. BTM is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site was installed in May 2015 and is powered by a battery bank, which is charged by solar panels.  Remote communication is provided by a cellular telephone modem. Site removed May 2018.","c(-113.377624, 44.660444)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
BTU,Big Timber Creek - Upper,INT,Instream Remote Detection System,2015-08-18T00:00:00Z,2015-10-15T13:30:00Z,522.303.416.089.011,1341,"This in-stream detection system on Big Timber Creek is located approximately 10.8 km upstream of the confluence with the Lemhi River and is comprised of two arrays.  Each array consists of two 10 ft antennas to span the width of the channel. BTM is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site is powered by a propane thermoelectric generator.  Remote communication is provided by a cellular telephone modem. Site was decomissioned in August 2018.","c(-113.397036, 44.61386)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
CAC,Canyon Creek ISA @ km 1,INT,Instream Remote Detection System,2010-11-01T00:00:00Z,2017-11-17T11:00:00Z,522.303.416.090.001,1332,"In-stream detection system consisting of a tandem array located in Canyon Creek. The array (CAC) located 100-meters upstream of the confluence with the Lemhi River. The site consists of two 5ft x 3ft HDPE pipe antennas connected to standalone Biomark IS1001 readers. The site is powered by solar and remote communication is provided by a 4G cellular modem. The site was originally installed in 2010 about 900 meters upstream of its current location, to which it was relocated in 2018.","c(-113.365281, 44.69109)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
CCA,Lower Charley Creek ISA,INT,Instream Remote Detection System,2009-08-07T00:00:00Z,2010-04-11T00:00:00Z,522.234.022.001,779,"From August 2009 to April 2010, site consisted of a single antenna powered by a FS2001-ISO. In August 2010, a second antenna powered by a second cheeseblock was installed. The data collected from August 2009 - August 2011 was originally reported as Passive Recaptures. In August 2011, the site was upgraded to use a FS2001M and it was officially registered as an interrogation site in PTAGIS. In September 2017, a third antenna was added to the site. In December 2017, the original passive recapture records were removed and the detection records from that time period were submitted as interrogation data. Site was destroyed by wildfire July 2021, but was reinstalled in December 2021 with a Biomark IS1001 Master Controller and three antennas.","c(-117.282497, 46.288458)",Snake River Basin Steelhead DPS,Lower Snake,Asotin Creek,SNASO-s,LSNAKE
CCU,Catherine Creek at Union,INT,Instream Remote Detection System,2018-12-19T00:00:00Z,NA,522.271.232.025,1050,"Instream detection array near the town of Union, Oregon, consisting of a IS1001-MTS multiplexing receiver and four antennas, each with 24v-IS1001s. Two antenna arrays are composed of two antennas each that span the normal high water mark and are secured to the substrate for pass-over detection.  Two antennas are placed side-by-side to span the creek for the upstream and downstream arrays. Site is grid powered and operates year-round. Site is on private land.","c(-117.900689, 45.215252)",Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s,GRROND
CCW,Catherine Creek Ladder/Weir,INT,Adult Fishway,2015-03-02T00:00:00Z,2022-04-20T04:30:00Z,522.271.232.032,1057,Instream detection array located in the adult-return fish ladder at the Catherine Creek weir. Site includes two pass-through antennas secured to weir-dam boards.  Antennas are each powered by Biomark IS-1001’s that are synchronized. Each IS-1001 has a unique IP address which can be accessed over the Advantech Smartflex Cell modem located inside the adult return ladder. The site is on grid power. ,"c(-117.828617, 45.190964)",Snake River Basin Steelhead DPS,Grande Ronde River,Grande Ronde River upper mainstem,GRUMA-s,GRROND
CEY,Cearley Creek Side Channel,INT,Instream Remote Detection System,2016-01-01T00:00:00Z,2018-11-20T18:00:00Z,522.303.591.009,1425,"Cearley Creek is a small tributary of the Yankee Fork of the Salmon River, Idaho and flows into a newly constructed side channel  and then into the Yankee Fork main stem. One 10ft x 5ft passthrough antenna and one 9ft x 5ft passthrough antenna are installed at the head of the side channel and two 10ft x 5ft passthrough antennas are installed at the mouth of the side channel. The upstream array of antennas are approximately 0.8 km (0.5 miles) away from the downstream array. Site was removed November 2018.","c(-114.72164, 44.339059)",Snake River Basin Steelhead DPS,Salmon River,Salmon River upper mainstem,SRUMA-s,UPSALM
CLC,Clear Creek near Kooskia NFH,INT,Instream Remote Detection System,2015-02-11T00:00:00Z,2018-07-23T12:00:00Z,522.224.120.004.001,871,"Instream detection array located in lower Clear Creek, a tributary to the Clearwater River, just downstream of Kooskia National Fish Hatchery. The array (CLC) is located at river km 522.224.120.004.001 and consists of five 10 foot Biomark flat panel antennas that span the entire river at base flow. The system is powered by Kooskia NFH and transmits interrogation data to the IFRO through a cellular modem. Data is reported to PTAGIS weekly via manually e-mailed interrogation files. CLC is operated by the Idaho Fishery Resource Office located in Orofino, ID. The array was installed in July, 2014 and began operation in February, 2015. Site was removed July 2018.","c(-115.950184, 46.132739)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
CMP,Camp Creek at rkm 2 - Imnaha,INT,Instream Remote Detection System,2013-02-15T00:00:00Z,NA,522.308.032.002.002,866,"In-stream detection system consisting of a tandem array located in Camp Creek.  The array (CMP) is located at river km 522.308.032.002.002 and consists of four 10 foot Biomark PVC Lite tandem antennas.  The array spans the entire river at base flow.  CMP is operated by the Imnaha River Steelhead Status and Smolt Monitoring (IRSSSM) project and was installed for continuous monitoring on February 21, 2013.  Electrical power is provided by four 115Ah batteries, three 305 watt solar panels and controlled by an OutBack Power flex max 60 MPPT solar charge controller. In April 2021, the site was moved about half a kilometer upstream.","c(-116.872927, 45.554828)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
COC,Cow Creek ISA @ stream mouth,INT,Instream Remote Detection System,2011-01-01T00:00:00Z,NA,522.308.006.001,837,"In-stream detection system consisting of a tandem array located in Cow Creek.  The array (COC) located at 0.5 km upstream of the confluence with the Imnaha River (N 45.76774, W 116.744037) consists of two arrays , deployed serially 10 m apart, of one 20 ft Biomark flat panel antenna each.  COC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on January 12, 2011.","c(-116.744037, 45.76774)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
CRA,Crooked River Array,INT,Instream Remote Detection System,2021-10-07T00:00:00Z,NA,522.224.120.094.000,960,Instream array on Crooked River near the confluence with the South Fork Clearwater River consisting of two arrays of antennas and an IS001 master controller. Upstream array has two 20ft antennas and the downstream array has two 20 ft antennas. System is powered by direct AC power to a pair of battery banks.,"c(-115.52766, 45.821493)",Snake River Basin Steelhead DPS,Clearwater River,South Fork Clearwater River,CRSFC-s,SFCLWR
CRC,"Carmen Creek, Salmon R. Basin",INT,Instream Remote Detection System,2013-10-21T00:00:00Z,2018-03-01T12:00:00Z,522.303.408.001,1234,"In-stream detection system consisting of a triple array located in Carmen Creek. The array (CRC) is located 0.68 km upstream of the confluence with the Salmon River and consists of 3 arrays, deployed serially at about 10 m apart. The upper and lower arrays are composed of three 5 ft PVC pipe pass-by antennas each while the middle array is comprised of two 10 foot and one 5 foot PVC pipe pass-by antennas. The Carmen Creek array site is located 0.16 km upstream of the culvert on Highway 93. CRC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. Site electricity comes from the adjacent electrical service lines and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors. Site was removed in March 2018.","c(-113.893466, 45.246485)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
CRT,Crooked River Satellite Fac.,INT,Hatchery Returns,2012-01-05T00:00:00Z,2013-09-06T15:00:00Z,522.224.120.094.001,961,"This array is located in the ladder of the Crooked River Satellite Facility.  The Crooked River is a tributary to the South Fork Clearwater River.  The array consists of two overflow antennas.  The openings for the antennas are 30x48 and each antenna has a baffle to replicate the existing dam board baffle.  All fish migrating up the Crooked River that try to migrate upstream of the satellite facility are forced into the ladder via a removable weir.  Fish have the freedom to move into and out of the ladder at will and are not trapped until they jump a finger weir that is above all array antennas.  Adult Chinook salmon that swim past the array and enter the ladder are sorted by origin.  Natural origin fish are returned to the Crooked River above the weir while hatchery origin fish are typically ponded and latter spawned, recycled through the fishery, or released elsewhere in the basin.","c(-115.527782, 45.820931)",Snake River Basin Steelhead DPS,Clearwater River,South Fork Clearwater River,CRSFC-s,SFCLWR
CZY,Crazyman Creek at 0.6 km,INT,Instream Remote Detection System,2013-11-08T00:00:00Z,NA,522.308.080.001,911,Instream detection system consisting of a tandum array located in the Imnaha River basin on Crazyman Creek. The array (CZY) is located at rkm 522.308.80.001 (N 45.22930 W -116.84478) and comprises of two arrays. Each array consists of two 10 foot Biomark light round black HPD antennas that spans the entire creek at base flow. Electrical power is from a thermal electric generator powered by eight 100 pound propane tanks. Remote communication is provided by a satellite phone modem. The site was installed on 11/8/2013.,"c(-116.84478, 45.2293)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
DWL,Dworshak NFH adult trap,INT,Hatchery Returns,2010-02-01T00:00:00Z,NA,522.224.065,811,"This array is located at the terminus of the Dworshak National Hatchery adult fish ladder.  The ladder is 321 feet in length and originates in the North Fork Clearwater River. Fish ladder operations are intermittent and coincide with broodstock collection needs.  All fish that ascend the ladder are ponded and held until they are inventoried and sorted. Wild fish are returned to the river, hatchery fish are held until spawning and those fish that are excess to broodstock needs are outplanted. Outplant locations vary with species and time of year.","c(-116.324263, 46.502652)",Snake River Basin Steelhead DPS,Clearwater River,North Fork Clearwater River,CRNFC-s,UPCLWR
EPR,East Fork Potlatch Array,INT,Instream Remote Detection System,2019-10-25T00:00:00Z,NA,522.224.024.065.003,838,The site is located in the East Fork Potlatch River about 3 river kilometers from the confluence with the Potlatch River. The site consists of two rows of antennas with each row containing one 20’ HDPE antenna. A Biomark IS1001-MTS master controller controls the site and is powered by a propane thermoelectric generator providing year-round operations.,"c(-116.41088, 46.795091)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
ESS,EFSF Salmon River at Parks Cr.,INT,Instream Remote Detection System,2009-03-01T00:00:00Z,NA,522.303.215.060.021,1121,"This is an in-stream interrogation system consisting of two separate antenna arrays, 790 meters apart, on the East Fk South Fk Salmon River (rkm 21) near Parks Creek. The upstream and downstream arrays consist of four flat plate antennas each, spanning 24 meters across the low-water channel.","c(-115.53315, 44.956205)",Snake River Basin Steelhead DPS,Salmon River,South Fork Salmon River,SFMAI-s,SFSALM
EVL,Eagle Valley Ranch - Lower,INT,Instream Remote Detection System,2019-08-05T00:00:00Z,NA,522.303.416.016,1257,Eagle Valley Ranch Lower is located at the downstream end of a restoration zone at Eagle Valley Ranch on the Lemhi River. The site is grid powered and includes six 20’ HDPE pipe-style antennas and IS1001 readers. The readers are connected to an IS1001-MC and cellular remote communications.,"c(-113.774021, 45.115074)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
EVU,Eagle Valley Ranch - Upper,INT,Instream Remote Detection System,2019-07-18T00:00:00Z,NA,522.303.416.020,1261,Eagle Valley Ranch Upper is located at the downstream end of a restoration zone at Eagle Valley Ranch on the Lemhi River. The site is solar powered and includes six 20’ HDPE pipe-style antennas and IS1001 readers. The readers are connected to an IS1001-MC and cellular remote communications.,"c(-113.726042, 45.100087)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
GCM,Grouse Creek Mouth,INT,Instream Remote Detection System,2020-03-18T00:00:00Z,NA,522.308.066.000,896,"The Grouse Creek Mouth (GCM) interrogation site consists of a tandem array in-stream detection system located in the Grouse Creek in the Imnaha River basin approximately 25m upstream from the confluence with the Imnaha River.  The array is under the Grouse Creek bridge on the upper Imnaha River road with all components located on  the county road right of way.  Each antenna spans the width of the creek under the bridge.  Stream side components include two stand alone Biomark IS1001 readers and a battery box on the western upstream side of the bridge.  GCM was installed March 2020 and began collecting data on March 18, 2020 and is expected to operate during adult steelhead returns, March - June. Power is from batteries that are manually changed out weekly.  Data are downloaded manually.","c(-116.806641, 45.328017)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
HEC,Hawley Cr/18 Mile Cr Array,INT,Instream Remote Detection System,2013-10-12T00:00:00Z,2015-12-12T00:00:00Z,522.303.416.092.004.001,1338,"In-stream detection system consisting of one controller/datalogger and two triple arrays,one in Eighteen Mile Creek and one in Hawley Cr. The Hawley Creek array is located 5.75 km upstream of the confluence with Texas Creek and is comprised of 3 arrays deployed serially at about 10 m apart, of one 10 ft PVC pipe pass-by antenna each. The Eighteen Mile Creek array is located 100 m upstream of the confluence with Hawley Creek and is comprised of 3 arrays deployed serially at about 10 m apart, of one 5 ft PVC pipe pass-by antenna each.  HEC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. This site is powered by a 24 volt solar powered system and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.. Site was decommissioned March 2017, last data recieved December 2015.","c(-113.31155, 44.668594)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
HLM,Potlatch River near Helmer,INT,Instream Remote Detection System,2009-09-01T00:00:00Z,2013-10-08T00:00:00Z,522.224.024.066,836,"This in-stream site is located near the town of Helmer, on the mainstem Potlatch River at km 66, just below the confluence of the West Fork and East Fork Potlatch rivers. Site is no longer active.","c(-116.428412, 46.799006)",Snake River Basin Steelhead DPS,Clearwater River,Clearwater River lower mainstem,CRLMA-s,LOCLWR
HYC,Hayden Creek In-stream Array,INT,Instream Remote Detection System,2009-08-01T00:00:00Z,2011-09-13T11:00:00Z,522.303.416.049.001,1291,"This is an instream interrogation system located on the lower section of Hayden Creek, in the Lemhi River Basin.  The system consists of two arrays, located serially 15 meters apart with the upstream array having two 10 foot and one 5 foot PVC Pipe antennas, and the lower array not changing from original installation and having one 20 foot and one 10 foot flat-plate antennas. At low flow, both arrays cover all of the stream channel. Water depth, water temperature, and air temperature probes are installed.","c(-113.631937, 44.861654)",Snake River Basin Steelhead DPS,Salmon River,Lemhi River,SRLEM-s,UPSALM
IML,Imnaha River Weir Adult Ladder,INT,Adult Fishway,2015-05-18T00:00:00Z,2015-05-27T00:00:00Z,522.308.084,914,"The site is located at the Oregon Dept. of Fish and Wildlife (ODFW) fish weir on the Imnaha River. The site was initially installed with two antennas in the ladder; a third antenna was added in June 2018 to monitor all fish handled in the work room at the trap. The antennas are currently driven by Biomark IS1001s and controlled by a Biomark IS1001-MC. The equipment is powered by a Hybrid- TEG (model 5220 and 1kw solar). The readers are connected to the controller via Biomark Data-Over-Power (DOP) cabling. The MC is connected to a satellite modem for remote telemetry. The site is being remotely monitored by Biomark with automatic downloads (and PTAGIS submissions) every four hours. The power supply and remote telemetry are being shared by the three interrogation sites at the weir, IR4, IR5, and IML.","c(-116.868663, 45.194276)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
IR1,Lower Imnaha River ISA @ km 7,INT,Instream Remote Detection System,2010-12-01T00:00:00Z,NA,522.308.007,837,"In-stream detection system consisting of a single array located in the lower Imnaha River. The array (IR1) located at river km 7 (N 45.761162, W -116.750658) consists of four 20 foot Biomark flat panel antennas that span the entire river at base flow. IR1 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on December 3, 2010. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a solar/propane hybrid thermal electric generator and remote communication provided by a satellite modem.","c(-116.750231, 45.761052)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
IR2,Lower Imnaha River ISA @ km 10,INT,Instream Remote Detection System,2010-11-01T00:00:00Z,NA,522.308.010,840,"In-stream detection system consisting of a single array located in the lower Imnaha River. The array (IR2) located at river km 10 (N 45.742839 W -116.764563) consists of one 10 foot and four 20 foot Biomark flat panel antennas that span the entire river at base flow. IR2 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring in November 2010. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a solar/propane hybrid thermal electric generator and remote communication provided by a satellite modem.","c(-116.764304, 45.742702)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
IR3,Upper Imnaha River ISA @ km 41,INT,Instream Remote Detection System,2011-02-01T00:00:00Z,NA,522.308.041,871,"In-stream detection system consisting of a tandem array located in the Upper Imnaha River.  The array (IR3) located at river km 41 (N 45.49004 W 116.80393) consists of two arrays , deployed serially 10 m apart, of three 20 ft Biomark flat panel antennas each. The upstream array spans all but 1.5 meters of the channel, starting from the right bank of channel.  The downstream array begins at the left bank and spans all but 4 meters of the channel.  IR3 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on February 15, 2011.","c(-116.804096, 45.489957)",Snake River Basin Steelhead DPS,Imnaha River,Imnaha River,IRMAI-s,IMNAHA
